arrondissement_num,arrondissement,year,parks,transit,density,thirdspace,infrastructure,uqi
1,1er Louvre,1968,23.18,100.0,1.34,100.0,50.0,54.9
2,2e Bourse,1968,0.0,46.8,84.89,17.79,50.0,39.9
3,3e Temple,1968,4.81,23.2,6.27,40.86,50.0,25.03
4,4e Hôtel-de-Ville,1968,17.96,38.93,96.91,69.17,50.0,54.59
5,5e Panthéon,1968,10.89,11.59,98.02,32.87,50.0,40.67
6,6e Luxembourg,1968,4.15,60.15,97.79,46.86,50.0,51.79
7,7e Palais-Bourbon,1968,61.99,31.95,25.28,41.75,50.0,42.19
8,8e Élysée,1968,49.52,78.15,0.0,33.42,50.0,42.22
9,9e Opéra,1968,0.88,41.12,63.63,18.84,50.0,34.89
10,10e Entrepôt,1968,6.38,15.38,62.31,7.06,50.0,28.23
11,11e Popincourt,1968,4.42,18.88,0.0,0.55,50.0,14.77
12,12e Reuilly,1968,51.4,11.6,44.18,5.77,50.0,32.59
13,13e Gobelins,1968,15.19,8.61,29.53,2.12,50.0,21.09
14,14e Observatoire,1968,31.01,4.59,77.59,2.74,50.0,33.19
15,15e Vaugirard,1968,22.85,7.63,71.13,2.12,50.0,30.75
16,16e Passy,1968,35.34,17.79,62.13,18.29,50.0,36.71
17,17e Batignolles,1968,19.86,0.0,75.67,0.0,50.0,29.11
18,18e Buttes-Montmartre,1968,15.41,3.41,60.86,2.66,50.0,26.47
19,19e Buttes-Chaumont,1968,23.43,8.53,28.18,3.74,50.0,22.78
20,20e Ménilmontant,1968,100.0,0.49,89.29,1.82,50.0,48.32
1,1er Louvre,1975,23.18,100.0,0.0,100.0,50.0,54.64
2,2e Bourse,1975,0.0,46.8,90.77,17.79,50.0,41.07
3,3e Temple,1975,4.81,23.2,50.64,40.86,50.0,33.9
4,4e Hôtel-de-Ville,1975,17.96,38.93,82.6,69.17,50.0,51.73
5,5e Panthéon,1975,10.89,11.59,91.35,32.87,50.0,39.34
6,6e Luxembourg,1975,4.15,60.15,88.26,46.86,50.0,49.88
7,7e Palais-Bourbon,1975,61.99,31.95,36.68,41.75,50.0,44.47
8,8e Élysée,1975,49.52,78.15,7.58,33.42,50.0,43.73
9,9e Opéra,1975,0.88,41.12,72.37,18.84,50.0,36.64
10,10e Entrepôt,1975,6.38,15.38,70.63,7.06,50.0,29.89
11,11e Popincourt,1975,4.42,18.88,0.0,0.55,50.0,14.77
12,12e Reuilly,1975,51.4,11.6,62.07,5.77,50.0,36.17
13,13e Gobelins,1975,15.19,8.61,66.96,2.12,50.0,28.58
14,14e Observatoire,1975,31.01,4.59,90.71,2.74,50.0,35.81
15,15e Vaugirard,1975,22.85,7.63,95.06,2.12,50.0,35.53
16,16e Passy,1975,35.34,17.79,78.72,18.29,50.0,40.03
17,17e Batignolles,1975,19.86,0.0,68.42,0.0,50.0,27.66
18,18e Buttes-Montmartre,1975,15.41,3.41,55.91,2.66,50.0,25.48
19,19e Buttes-Chaumont,1975,23.43,8.53,56.76,3.74,50.0,28.49
20,20e Ménilmontant,1975,100.0,0.49,90.91,1.82,50.0,48.64
1,1er Louvre,1982,23.18,100.0,0.0,100.0,50.0,54.64
2,2e Bourse,1982,0.0,46.8,75.06,17.79,50.0,37.93
3,3e Temple,1982,4.81,23.2,61.83,40.86,50.0,36.14
4,4e Hôtel-de-Ville,1982,17.96,38.93,74.1,69.17,50.0,50.03
5,5e Panthéon,1982,10.89,11.59,95.73,32.87,50.0,40.22
6,6e Luxembourg,1982,4.15,60.15,83.95,46.86,50.0,49.02
7,7e Palais-Bourbon,1982,61.99,31.95,42.52,41.75,50.0,45.64
8,8e Élysée,1982,49.52,78.15,12.16,33.42,50.0,44.65
9,9e Opéra,1982,0.88,41.12,71.11,18.84,50.0,36.39
10,10e Entrepôt,1982,6.38,15.38,66.84,7.06,50.0,29.13
11,11e Popincourt,1982,4.42,18.88,0.0,0.55,50.0,14.77
12,12e Reuilly,1982,51.4,11.6,76.85,5.77,50.0,39.12
13,13e Gobelins,1982,15.19,8.61,91.96,2.12,50.0,33.58
14,14e Observatoire,1982,31.01,4.59,96.99,2.74,50.0,37.07
15,15e Vaugirard,1982,22.85,7.63,90.47,2.12,50.0,34.61
16,16e Passy,1982,35.34,17.79,85.06,18.29,50.0,41.3
17,17e Batignolles,1982,19.86,0.0,67.98,0.0,50.0,27.57
18,18e Buttes-Montmartre,1982,15.41,3.41,59.85,2.66,50.0,26.27
19,19e Buttes-Chaumont,1982,23.43,8.53,92.39,3.74,50.0,35.62
20,20e Ménilmontant,1982,100.0,0.49,75.75,1.82,50.0,45.61
1,1er Louvre,1990,23.18,100.0,0.0,100.0,50.0,54.64
2,2e Bourse,1990,0.0,46.8,67.82,17.79,50.0,36.48
3,3e Temple,1990,4.81,23.2,75.48,40.86,50.0,38.87
4,4e Hôtel-de-Ville,1990,17.96,38.93,62.97,69.17,50.0,47.81
5,5e Panthéon,1990,10.89,11.59,87.75,32.87,50.0,38.62
6,6e Luxembourg,1990,4.15,60.15,76.12,46.86,50.0,47.46
7,7e Palais-Bourbon,1990,61.99,31.95,33.39,41.75,50.0,43.82
8,8e Élysée,1990,49.52,78.15,2.89,33.42,50.0,42.8
9,9e Opéra,1990,0.88,41.12,96.42,18.84,50.0,41.45
10,10e Entrepôt,1990,6.38,15.38,68.15,7.06,50.0,29.39
11,11e Popincourt,1990,4.42,18.88,0.0,0.55,50.0,14.77
12,12e Reuilly,1990,51.4,11.6,64.82,5.77,50.0,36.72
13,13e Gobelins,1990,15.19,8.61,86.81,2.12,50.0,32.55
14,14e Observatoire,1990,31.01,4.59,89.02,2.74,50.0,35.47
15,15e Vaugirard,1990,22.85,7.63,98.21,2.12,50.0,36.16
16,16e Passy,1990,35.34,17.79,72.47,18.29,50.0,38.78
17,17e Batignolles,1990,19.86,0.0,84.3,0.0,50.0,30.83
18,18e Buttes-Montmartre,1990,15.41,3.41,67.52,2.66,50.0,27.8
19,19e Buttes-Chaumont,1990,23.43,8.53,89.19,3.74,50.0,34.98
20,20e Ménilmontant,1990,100.0,0.49,70.16,1.82,50.0,44.49
1,1er Louvre,1999,23.18,100.0,0.0,100.0,50.0,54.64
2,2e Bourse,1999,0.0,46.8,66.79,17.79,50.0,36.28
3,3e Temple,1999,4.81,23.2,72.72,40.86,50.0,38.32
4,4e Hôtel-de-Ville,1999,17.96,38.93,63.08,69.17,50.0,47.83
5,5e Panthéon,1999,10.89,11.59,88.54,32.87,50.0,38.78
6,6e Luxembourg,1999,4.15,60.15,73.86,46.86,50.0,47.0
7,7e Palais-Bourbon,1999,61.99,31.95,29.86,41.75,50.0,43.11
8,8e Élysée,1999,49.52,78.15,5.61,33.42,50.0,43.34
9,9e Opéra,1999,0.88,41.12,95.76,18.84,50.0,41.32
10,10e Entrepôt,1999,6.38,15.38,61.65,7.06,50.0,28.09
11,11e Popincourt,1999,4.42,18.88,0.0,0.55,50.0,14.77
12,12e Reuilly,1999,51.4,11.6,77.46,5.77,50.0,39.25
13,13e Gobelins,1999,15.19,8.61,93.91,2.12,50.0,33.97
14,14e Observatoire,1999,31.01,4.59,91.56,2.74,50.0,35.98
15,15e Vaugirard,1999,22.85,7.63,90.15,2.12,50.0,34.55
16,16e Passy,1999,35.34,17.79,72.37,18.29,50.0,38.76
17,17e Batignolles,1999,19.86,0.0,78.26,0.0,50.0,29.62
18,18e Buttes-Montmartre,1999,15.41,3.41,63.22,2.66,50.0,26.94
19,19e Buttes-Chaumont,1999,23.43,8.53,96.86,3.74,50.0,36.51
20,20e Ménilmontant,1999,100.0,0.49,64.27,1.82,50.0,43.32
1,1er Louvre,2006,23.18,100.0,0.0,100.0,50.0,54.64
2,2e Bourse,2006,0.0,46.8,73.52,17.79,50.0,37.62
3,3e Temple,2006,4.81,23.2,74.88,40.86,50.0,38.75
4,4e Hôtel-de-Ville,2006,17.96,38.93,53.24,69.17,50.0,45.86
5,5e Panthéon,2006,10.89,11.59,90.86,32.87,50.0,39.24
6,6e Luxembourg,2006,4.15,60.15,70.94,46.86,50.0,46.42
7,7e Palais-Bourbon,2006,61.99,31.95,25.93,41.75,50.0,42.32
8,8e Élysée,2006,49.52,78.15,2.22,33.42,50.0,42.66
9,9e Opéra,2006,0.88,41.12,92.49,18.84,50.0,40.67
10,10e Entrepôt,2006,6.38,15.38,61.14,7.06,50.0,27.99
11,11e Popincourt,2006,4.42,18.88,0.0,0.55,50.0,14.77
12,12e Reuilly,2006,51.4,11.6,78.3,5.77,50.0,39.41
13,13e Gobelins,2006,15.19,8.61,95.98,2.12,50.0,34.38
14,14e Observatoire,2006,31.01,4.59,89.05,2.74,50.0,35.48
15,15e Vaugirard,2006,22.85,7.63,89.02,2.12,50.0,34.32
16,16e Passy,2006,35.34,17.79,62.14,18.29,50.0,36.71
17,17e Batignolles,2006,19.86,0.0,82.37,0.0,50.0,30.45
18,18e Buttes-Montmartre,2006,15.41,3.41,61.5,2.66,50.0,26.6
19,19e Buttes-Chaumont,2006,23.43,8.53,88.79,3.74,50.0,34.9
20,20e Ménilmontant,2006,100.0,0.49,58.34,1.82,50.0,42.13
1,1er Louvre,2011,23.18,100.0,0.0,100.0,50.0,54.64
2,2e Bourse,2011,0.0,46.8,83.11,17.79,50.0,39.54
3,3e Temple,2011,4.81,23.2,69.5,40.86,50.0,37.67
4,4e Hôtel-de-Ville,2011,17.96,38.93,48.21,69.17,50.0,44.85
5,5e Panthéon,2011,10.89,11.59,88.1,32.87,50.0,38.69
6,6e Luxembourg,2011,4.15,60.15,66.31,46.86,50.0,45.49
7,7e Palais-Bourbon,2011,61.99,31.95,28.09,41.75,50.0,42.76
8,8e Élysée,2011,49.52,78.15,5.55,33.42,50.0,43.33
9,9e Opéra,2011,0.88,41.12,89.44,18.84,50.0,40.06
10,10e Entrepôt,2011,6.38,15.38,59.28,7.06,50.0,27.62
11,11e Popincourt,2011,4.42,18.88,0.0,0.55,50.0,14.77
12,12e Reuilly,2011,51.4,11.6,80.24,5.77,50.0,39.8
13,13e Gobelins,2011,15.19,8.61,98.63,2.12,50.0,34.91
14,14e Observatoire,2011,31.01,4.59,94.45,2.74,50.0,36.56
15,15e Vaugirard,2011,22.85,7.63,86.69,2.12,50.0,33.86
16,16e Passy,2011,35.34,17.79,74.21,18.29,50.0,39.13
17,17e Batignolles,2011,19.86,0.0,74.56,0.0,50.0,28.88
18,18e Buttes-Montmartre,2011,15.41,3.41,51.23,2.66,50.0,24.54
19,19e Buttes-Chaumont,2011,23.43,8.53,90.47,3.74,50.0,35.23
20,20e Ménilmontant,2011,100.0,0.49,55.71,1.82,50.0,41.6
1,1er Louvre,2016,23.18,100.0,0.0,100.0,50.0,54.64
2,2e Bourse,2016,0.0,46.8,73.86,17.79,50.0,37.69
3,3e Temple,2016,4.81,23.2,66.63,40.86,50.0,37.1
4,4e Hôtel-de-Ville,2016,17.96,38.93,53.0,69.17,50.0,45.81
5,5e Panthéon,2016,10.89,11.59,92.05,32.87,50.0,39.48
6,6e Luxembourg,2016,4.15,60.15,64.71,46.86,50.0,45.17
7,7e Palais-Bourbon,2016,61.99,31.95,25.29,41.75,50.0,42.2
8,8e Élysée,2016,49.52,78.15,3.16,33.42,50.0,42.85
9,9e Opéra,2016,0.88,41.12,81.64,18.84,50.0,38.5
10,10e Entrepôt,2016,6.38,15.38,53.29,7.06,50.0,26.42
11,11e Popincourt,2016,4.42,18.88,0.0,0.55,50.0,14.77
12,12e Reuilly,2016,51.4,11.6,85.17,5.77,50.0,40.79
13,13e Gobelins,2016,15.19,8.61,94.2,2.12,50.0,34.02
14,14e Observatoire,2016,31.01,4.59,99.29,2.74,50.0,37.53
15,15e Vaugirard,2016,22.85,7.63,81.02,2.12,50.0,32.72
16,16e Passy,2016,35.34,17.79,78.11,18.29,50.0,39.91
17,17e Batignolles,2016,19.86,0.0,67.28,0.0,50.0,27.43
18,18e Buttes-Montmartre,2016,15.41,3.41,48.84,2.66,50.0,24.06
19,19e Buttes-Chaumont,2016,23.43,8.53,80.99,3.74,50.0,33.34
20,20e Ménilmontant,2016,100.0,0.49,47.53,1.82,50.0,39.97
1,1er Louvre,2022,23.18,100.0,0.0,100.0,50.0,54.64
2,2e Bourse,2022,0.0,46.8,81.61,17.79,50.0,39.24
3,3e Temple,2022,4.81,23.2,68.65,40.86,50.0,37.5
4,4e Hôtel-de-Ville,2022,17.96,38.93,60.85,69.17,50.0,47.38
5,5e Panthéon,2022,10.89,11.59,91.11,32.87,50.0,39.29
6,6e Luxembourg,2022,4.15,60.15,69.31,46.86,50.0,46.09
7,7e Palais-Bourbon,2022,61.99,31.95,22.32,41.75,50.0,41.6
8,8e Élysée,2022,49.52,78.15,4.38,33.42,50.0,43.09
9,9e Opéra,2022,0.88,41.12,76.57,18.84,50.0,37.48
10,10e Entrepôt,2022,6.38,15.38,66.35,7.06,50.0,29.03
11,11e Popincourt,2022,4.42,18.88,0.0,0.55,50.0,14.77
12,12e Reuilly,2022,51.4,11.6,90.52,5.77,50.0,41.86
13,13e Gobelins,2022,15.19,8.61,89.62,2.12,50.0,33.11
14,14e Observatoire,2022,31.01,4.59,92.28,2.74,50.0,36.12
15,15e Vaugirard,2022,22.85,7.63,75.92,2.12,50.0,31.7
16,16e Passy,2022,35.34,17.79,80.0,18.29,50.0,40.28
17,17e Batignolles,2022,19.86,0.0,65.62,0.0,50.0,27.1
18,18e Buttes-Montmartre,2022,15.41,3.41,48.73,2.66,50.0,24.04
19,19e Buttes-Chaumont,2022,23.43,8.53,80.1,3.74,50.0,33.16
20,20e Ménilmontant,2022,100.0,0.49,45.9,1.82,50.0,39.64
