id,name,parks,transit,density,thirdspace,pedestrian,infrastructure,income,uqi_corrected,uqi_components_used
1,Álvaro Obregón,34.5,19.0,43.7,17.4,25.9,64.0,28.6,35.72,"parks,transit,density,thirdspace,infrastructure"
2,Azcapotzalco,55.8,29.1,72.7,27.9,41.8,77.3,50.0,52.56,"parks,transit,density,thirdspace,infrastructure"
3,Benito Juárez,0.9,70.0,93.7,18.7,9.8,86.5,100.0,53.96,"parks,transit,density,thirdspace,infrastructure"
4,Coyoacán,100.0,26.9,64.3,55.7,77.8,83.2,50.0,66.02,"parks,transit,density,thirdspace,infrastructure"
5,Cuajimalpa,57.3,0.0,15.0,45.8,51.5,51.0,21.4,33.82,"parks,transit,density,thirdspace,infrastructure"
6,Cuauhtémoc,11.5,100.0,87.8,100.0,55.8,86.6,78.6,77.17999999999999,"parks,transit,density,thirdspace,infrastructure"
7,Gustavo A. Madero,36.2,37.2,75.6,4.9,20.6,72.9,42.9,45.36,"parks,transit,density,thirdspace,infrastructure"
8,Iztacalco,21.5,43.6,100.0,10.9,16.2,72.2,42.9,49.64,"parks,transit,density,thirdspace,infrastructure"
9,Iztapalapa,25.9,23.0,92.5,0.0,12.9,40.2,28.6,36.32000000000001,"parks,transit,density,thirdspace,infrastructure"
10,La Magdalena Contreras,26.1,1.0,19.9,23.3,24.7,67.2,35.7,27.5,"parks,transit,density,thirdspace,infrastructure"
11,Miguel Hidalgo,89.4,55.6,49.8,58.1,73.8,91.0,78.6,68.78,"parks,transit,density,thirdspace,infrastructure"
12,Milpa Alta,0.0,0.0,0.0,43.2,21.6,39.7,0.0,16.580000000000002,"parks,transit,density,thirdspace,infrastructure"
13,Tláhuac,44.7,11.7,23.7,21.6,33.2,55.8,28.6,31.5,"parks,transit,density,thirdspace,infrastructure"
14,Tlalpan,56.7,15.0,10.3,8.3,32.5,78.9,42.9,33.839999999999996,"parks,transit,density,thirdspace,infrastructure"
15,Venustiano Carranza,85.9,63.3,74.5,18.1,52.0,79.0,64.3,64.16,"parks,transit,density,thirdspace,infrastructure"
16,Xochimilco,21.0,10.5,18.8,18.2,19.6,47.2,28.6,23.14,"parks,transit,density,thirdspace,infrastructure"
