arrondissement_num,insee_code,arrondissement,total_m2,m2_per_capita
1,75101,1er — Louvre,50490.0,3.262681744749596
2,75102,2e — Bourse,5054.0,0.2473449811579308
3,75103,3e — Temple,28612.0,0.8730623703161235
4,75104,4e — Hôtel-de-Ville,72445.0,2.583722671992582
5,75105,5e — Panthéon,93057.0,1.6639606616003577
6,75106,6e — Luxembourg,31810.0,0.7867530668777206
7,75107,7e — Palais-Bourbon,400479.0,8.309382521371068
8,75108,8e — Élysée,236863.0,6.687644700434807
9,75109,9e — Opéra,21144.0,0.36193704103117136
10,75110,10e — Entrepôt,88275.0,1.0774967653736298
11,75111,11e — Popincourt,115150.0,0.8225998871291514
12,75112,12e — Reuilly,969073.0,6.932447706527027
13,75113,13e — Gobelins,395078.0,2.2228486229498974
14,75114,14e — Observatoire,588983.0,4.280990834490227
15,75115,15e — Vaugirard,736413.0,3.2192355106358796
16,75116,16e — Passy,773580.0,4.842956683966369
17,75117,17e — Batignolles,456248.0,2.8302172375718024
18,75118,18e — Buttes-Montmartre,418354.0,2.2513332436432125
19,75119,19e — Buttes-Chaumont,587773.0,3.2952273631924474
20,75120,20e — Ménilmontant,2487534.0,13.25313542254947
