id,name,parks,transit,density,thirdspace,pedestrian,infrastructure,income,median_income_eur,population,uqi_corrected,uqi_components_used
1,1er — Louvre,23.2,100.0,0.0,100.0,61.6,50.0,54.0,35030.0,15475.0,55.8,"parks,transit,density,thirdspace"
2,2e — Bourse,0.0,46.8,41.0,17.8,8.9,50.0,49.7,34050.0,20433.0,26.4,"parks,transit,density,thirdspace"
3,3e — Temple,4.8,23.2,65.9,40.9,22.8,50.0,53.0,34800.0,32772.0,33.7,"parks,transit,density,thirdspace"
4,4e — Hôtel-de-Ville,18.0,38.9,30.5,69.2,43.6,50.0,45.2,33040.0,28039.0,39.150000000000006,"parks,transit,density,thirdspace"
5,5e — Panthéon,10.9,11.6,45.7,32.9,21.9,50.0,58.2,35960.0,55925.0,25.275,"parks,transit,density,thirdspace"
6,6e — Luxembourg,4.1,60.1,34.9,46.9,25.5,50.0,83.9,41750.0,40432.0,36.5,"parks,transit,density,thirdspace"
7,7e — Palais-Bourbon,62.0,32.0,11.2,41.8,51.9,50.0,100.0,45380.0,48196.0,36.75,"parks,transit,density,thirdspace"
8,8e — Élysée,49.5,78.1,2.3,33.4,41.4,50.0,94.3,44100.0,35418.0,40.825,"parks,transit,density,thirdspace"
9,9e — Opéra,0.9,41.1,61.8,18.8,9.8,50.0,63.7,37220.0,58419.0,30.65,"parks,transit,density,thirdspace"
10,10e — Entrepôt,6.4,15.4,67.0,7.1,6.8,50.0,29.3,29470.0,81926.0,23.974999999999998,"parks,transit,density,thirdspace"
11,11e — Popincourt,4.4,18.9,100.0,0.5,2.4,50.0,32.6,30210.0,139983.0,30.95,"parks,transit,density,thirdspace"
12,12e — Reuilly,51.4,11.6,0.4,5.8,28.6,50.0,31.4,29940.0,139788.0,17.3,"parks,transit,density,thirdspace"
13,13e — Gobelins,15.2,8.6,55.3,2.1,8.6,50.0,12.4,25670.0,177735.0,20.299999999999997,"parks,transit,density,thirdspace"
14,14e — Observatoire,31.0,4.6,53.7,2.7,16.8,50.0,29.3,29460.0,137581.0,23.000000000000004,"parks,transit,density,thirdspace"
15,15e — Vaugirard,22.9,7.6,62.4,2.1,12.5,50.0,44.0,32780.0,228754.0,23.75,"parks,transit,density,thirdspace"
16,16e — Passy,35.3,17.8,4.4,18.3,26.8,50.0,83.0,41550.0,159733.0,18.95,"parks,transit,density,thirdspace"
17,17e — Batignolles,19.9,0.0,67.3,0.0,10.0,50.0,46.7,33390.0,161206.0,21.799999999999997,"parks,transit,density,thirdspace"
18,18e — Buttes-Montmartre,15.4,3.4,75.7,2.7,9.0,50.0,9.1,24910.0,185825.0,24.3,"parks,transit,density,thirdspace"
19,19e — Buttes-Chaumont,23.4,8.5,60.0,3.7,13.6,50.0,0.0,22870.0,178371.0,23.900000000000002,"parks,transit,density,thirdspace"
20,20e — Ménilmontant,100.0,0.5,77.2,1.8,50.9,50.0,3.1,23570.0,187694.0,44.875,"parks,transit,density,thirdspace"
